Model Name / Instruction Number,1,2,3,4,5,6,7,8,9,10,avg score
TheBloke/Orca-2-13B-AWQ,0.109,0.326,0.301,0.142,0.193,0.364,0.393,0.273,0.163,0.186,0.245
microsoft/Orca-2-7b,0.104,0.147,0.254,0.181,0.183,0.123,0.148,0.225,0.031,0.28,0.168
01-ai/Yi-6B,0.072,0.129,0.099,0.009,0.0,0.24,0.111,0.206,0.095,0.138,0.11
WizardLM/WizardLM-13B-V1.1,0.126,0.14,0.224,0.141,0.187,0.079,0.158,0.222,0.143,0.276,0.17
TheBloke/WizardLM-7B-V1.0-Uncensored-GPTQ,0.175,0.142,0.239,0.153,0.291,0.311,0.227,0.245,0.15,0.297,0.223
TheBloke/llava-v1.5-13B-AWQ,0.14,0.194,0.351,0.153,0.213,0.092,0.283,0.242,0.069,0.352,0.209
TheBloke/vicuna-7B-v1.5-GPTQ,0.142,0.176,0.212,0.184,0.201,0.385,0.228,0.142,0.16,0.275,0.21
TheBloke/tulu-2-dpo-13B-AWQ,0.135,0.181,0.249,0.116,0.191,0.151,0.227,0.0,0.197,0.267,0.171
timdettmers/guanaco-7b,0.156,0.093,0.271,0.134,0.135,0.364,0.197,0.24,0.098,0.191,0.188
TheBloke/guanaco-13B-GPTQ,0.16,0.157,0.2,0.208,0.137,0.237,0.148,0.159,0.103,0.264,0.177
